GASS,AGCnr,SDSS,PLATEID,MJD,FIBERID,ra,dec,MASS_P50,HIMASS_LIM,WARNING,index,mpa_z,model_u,model_g,model_r,model_i,model_z,ext_u,ext_g,ext_r,ext_i,ext_z
42325,727286,J154621.26+260324.5,1849,53846,582,26.056833,0.04074,10.192,8.5,0,654800,0.040743258,18.5014,17.0465,16.3109,15.8605,15.5459,0.3311,0.2436,0.1767,0.134,0.095
10698,253556,J154623.24+022134.3,594,52045,181,2.359554,0.04872,10.689,8.89,0,161476,0.04870545,18.0795,16.2526,15.4173,14.9833,14.6433,0.5759,0.4238,0.3074,0.2331,0.1652
20890,251228,J154624.57+301601.1,1389,53135,27,30.266989,0.03159,10.858,9.06,0,471075,0.031612314,16.9855,15.073,14.2164,13.7876,13.4775,0.1692,0.1245,0.0903,0.0685,0.0485
28398,254979,J154627.95+265511.2,1654,53498,313,26.919798,0.04465,10.808,9.01,0,565355,0.044650346,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10702,252566,J154628.91+022308.8,594,52045,200,2.385782,0.04808,10.662,8.86,0,161485,0.048081398,19.2056,17.0476,16.0587,15.5743,15.1664,0.5781,0.4254,0.3085,0.2339,0.1659
21649,251229,J154629.99+320702.1,1581,53149,65,32.117268,0.03195,10.96,9.16,0,531293,0.031941004,16.7162,14.9088,14.0546,13.6019,13.254,0.1262,0.0929,0.0673,0.0511,0.0362
20887,254980,J154630.24+301846.1,1389,53135,21,30.312832,0.03059,10.339,8.54,0,471072,0.030593827,17.904,16.0557,15.2452,14.8462,14.5574,0.1712,0.126,0.0914,0.0693,0.0491
10700,253557,J154636.76+022152.5,594,52045,192,2.364598,0.04877,10.467,8.67,0,161480,0.048771147,19.5585,17.8068,16.8684,16.2875,15.8503,0.5768,0.4244,0.3078,0.2334,0.1655
39862,715139,J154638.93+081948.1,1724,53859,617,8.33004,0.04189,10.391,8.59,0,595406,0.041883968,18.3544,16.6223,15.7869,15.3948,15.1282,0.2188,0.161,0.1168,0.0885,0.0628
10725,253412,J154639.59+032936.9,594,52045,482,3.493603,0.04127,10.425,8.63,0,161675,0.04128892,18.6287,16.8879,16.0451,15.53,15.2051,0.4666,0.3433,0.249,0.1888,0.1339
21006,254981,J154641.14+302104.9,1390,53142,361,30.351385,0.03195,10.348,8.55,0,471780,0.031948555,17.4508,15.7179,14.9781,14.6105,14.3713,0.1759,0.1294,0.0939,0.0712,0.0505
21609,10034,J154645.21+310040.4,1580,53145,212,31.011236,0.03109,10.569,8.77,0,530966,0.031103326,16.6567,15.4108,14.6806,14.2904,13.9896,0.1496,0.1101,0.0798,0.0605,0.0429
10726,253413,J154648.12+030812.5,594,52045,498,3.136815,0.04277,10.439,8.64,0,161689,0.0427771,18.8998,16.9253,16.0189,15.5641,15.2183,0.5632,0.4144,0.3005,0.2279,0.1616
46905,720127,J154649.41+175902.0,2167,53889,76,17.983913,0.04571,10.217,8.5,0,757323,0.045730114,17.9159,16.3952,15.7312,15.4265,15.2381,0.1768,0.1301,0.0944,0.0716,0.0507
26958,10029,J154654.33+055328.3,1821,53167,86,5.891212,0.04188,11.255,9.46,0,640785,0.041891642,16.2987,14.4841,13.6768,13.2713,12.9355,0.2877,0.2117,0.1536,0.1164,0.0826
1527,253867,J154655.68+004432.2,342,51691,465,0.742301,0.04549,10.228,8.5,0,38865,0.04550644,17.7247,16.3975,15.7907,15.4339,15.2058,0.5107,0.3758,0.2725,0.2067,0.1465
46971,720133,J154703.77+184043.5,2167,53889,576,18.678778,0.04966,10.388,8.59,0,757714,0.049651705,19.0989,17.2338,16.3504,15.9398,15.6214,0.19,0.1398,0.1014,0.0769,0.0545
26961,252922,J154704.98+054855.4,1821,53167,92,5.815393,0.0341,10.005,8.5,0,640790,0.03410429,17.9448,16.4964,15.856,15.5517,15.2086,0.3067,0.2256,0.1636,0.1241,0.088
28307,254992,J154707.81+271643.2,1653,53534,60,27.278667,0.03159,10.107,8.5,0,564669,0.031588756,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39859,251232,J154708.01+084717.7,1724,53859,609,8.788259,0.03806,10.837,9.04,0,595400,0.038051587,17.3769,15.5328,14.6676,14.2606,13.9201,0.2271,0.1671,0.1212,0.0919,0.0652
26957,252923,J154709.36+055649.5,1821,53167,82,5.947105,0.04198,10.654,8.85,0,640782,0.04199498,18.1853,16.3167,15.4145,14.999,14.6385,0.29,0.2134,0.1547,0.1173,0.0832
39860,251234,J154710.25+084617.5,1724,53859,610,8.771543,0.03852,10.346,8.55,0,595401,0.038522184,18.2935,16.5177,15.7074,15.323,14.9983,0.2298,0.1691,0.1226,0.093,0.0659
28399,254996,J154710.44+270627.7,1654,53498,350,27.10771,0.03274,10.071,8.5,0,565382,0.03274729,19.0176,17.3803,16.4936,16.0342,15.6789,0.1719,0.1265,0.0917,0.0695,0.0493
46976,720136,J154710.57+181531.2,2167,53889,593,18.25869,0.04615,10.123,8.5,0,757724,0.04615451,19.0817,17.6668,16.9255,16.4672,16.1356,0.203,0.1493,0.1083,0.0821,0.0582
47094,720137,J154711.27+225328.8,2169,53556,141,22.891335,0.0415,10.962,9.16,0,758361,0.041490532,17.5553,15.5618,14.6711,14.2358,13.8784,0.259,0.1906,0.1382,0.1048,0.0743
1531,253869,J154711.33+002424.8,342,51691,493,0.406915,0.03262,10.127,8.5,0,38883,0.03263894,17.4431,16.0558,15.4137,15.0261,14.8409,0.4823,0.3549,0.2574,0.1952,0.1384
1515,253870,J154714.50+000217.2,342,51691,173,0.038136,0.04614,10.45,8.65,0,38674,0.046097737,18.6212,16.8144,15.9861,15.5551,15.2239,0.422,0.3105,0.2252,0.1707,0.1211
26959,716450,J154715.58+055516.5,1821,53167,89,5.921267,0.04189,10.991,9.19,0,640787,0.041901816,16.6372,15.0278,14.2689,13.8704,13.5432,0.2922,0.215,0.156,0.1183,0.0838
10694,716451,J154717.97+025724.5,594,52045,139,2.956831,0.04318,12.044,10.24,0,161450,0.043158848,21.6451,15.3479,14.3885,13.9218,13.5615,0.5456,0.4015,0.2912,0.2208,0.1565
47042,251244,J154719.55+213152.0,2168,53886,526,21.531122,0.04176,10.695,8.9,0,758163,0.041761536,17.1566,15.6077,14.855,14.4697,14.155,0.2489,0.1831,0.1328,0.1007,0.0714
