GASSID,AGC,PLATEID,MJD,FIBERID,RA,DEC,Z,MASS,SFR_SDSS,SFR,SSFR
101026,1364,430,51877,405,28.515291214,14.9094896317,0.01700204,9.208248,0.2060203,0.3434345,-9.672404
112097,0,286,51999,547,182.0165252686,0.6975932121,0.01966596,9.123469,0.4802088,0.4791531,-9.442995
111072,0,513,51989,466,173.7708435059,2.5511496067,0.0174139,9.08324,0.3699304,0.9516594,-9.104758
110062,0,577,52367,419,159.2888641357,5.4299201965,0.01913516,9.013873,0.02158192,0.1184131,-9.940474
101027,0,397,51794,520,18.1403656006,0.2933907807,0.01906302,9.411549,0.4591452,0.5540555,-9.667995
109112,0,1274,52995,44,141.5345611572,34.8953933716,0.01638531,9.463996,1.526722,0.7602304,-9.583051
112098,0,520,52288,489,187.8359375,3.1249072552,0.01743314,9.134426,0.09388801,0.140598,-9.986447
108119,180916,2419,54139,46,121.0626373291,8.7320652008,0.01572973,9.088653,0.2793959,0.4772436,-9.409912
112099,0,521,52326,291,189.4021148682,1.5888899565,0.01705606,9.528315,0.06334612,0.1709431,-10.29546
111073,0,2512,53877,184,177.9787750244,16.8458900452,0.01197425,9.614167,0.1883996,0.1521921,-10.43178
114116,0,2123,53793,449,211.8042297363,28.6372032166,0.01810867,9.432227,0.2325038,0.4581194,-9.771249
111074,6950,2226,53819,386,179.5217895508,27.8788642883,0.01117945,9.968719,1.419711,3.44316,-9.431763
110063,201681,1002,52646,292,163.8025817871,5.8625597954,0.01165134,9.173743,0.2795182,0.2575853,-9.762822
114117,248941,2746,54232,627,216.5724029541,15.686044693,0.01980527,9.215815,0.2243727,0.2409186,-9.833944
114118,240053,2123,53793,375,211.1535339355,27.9017753601,0.01522464,9.290607,0.3621847,0.3033664,-9.80864
112100,0,844,52378,82,184.6253967285,4.306801796,0.0190838,9.143075,0.3520952,0.2854928,-9.68748
114119,0,1644,53144,247,215.4819946289,34.8053359985,0.01044906,9.335034,0.03626269,0.1253435,-10.23693
109113,0,1593,52991,33,144.0227203369,33.9614257813,0.01252155,9.235935,0.1476455,0.5978088,-9.459373
110064,0,2480,53851,345,160.5021972656,16.60430336,0.01936227,9.082289,0.1836285,0.2610287,-9.665601
110065,0,2366,53741,527,156.4347229004,23.0414371491,0.01792965,9.573602,0.2372357,0.265328,-10.14982
111075,6847,2514,53882,240,178.1583557129,24.3076324463,0.01645465,9.546099,0.2966813,0.5656078,-9.793583
114120,0,2745,54231,325,212.2374572754,16.44190979,0.0170343,9.413164,0.6464874,0.4496624,-9.760278
107026,0,1060,52636,494,118.6375808716,29.7107830048,0.01666828,9.369679,0.5584446,NULL,NULL
112101,0,2230,53799,255,183.307723999,28.8358802795,0.01269425,9.606528,0.1711355,0.7573353,-9.72724
108120,0,2271,53726,549,125.9494476318,17.9907093048,0.01543341,9.036322,0.2826833,0.7929296,-9.137087
111076,0,2492,54178,526,168.6217651367,22.4898967743,0.01761633,9.931673,0.08174479,0.4698586,-10.25971
113115,0,2104,53852,558,200.215713501,31.3665332794,0.01683824,9.695004,0.4990569,0.702749,-9.848205
110066,202370,1598,53033,136,155.9661102295,9.9874620438,0.01632932,9.05979,0.1438004,0.1169347,-9.991846
113116,0,2104,53852,412,198.9463195801,31.8464221954,0.01697578,9.616234,0.7723606,1.061597,-9.590274
114121,241085,2127,53859,12,215.2043609619,25.9588108063,0.01488921,9.77296,0.1235492,0.348496,-10.23076
124022,0,393,51794,383,10.5156745911,0.7189534307,0.01788323,9.013181,0.01982212,0.06354403,-10.21011
113117,230117,2009,53904,127,197.2382354736,28.2805137634,0.01948272,9.366286,0.3012521,1.469668,-9.199067
123012,0,380,51792,590,346.0173339844,0.7806696296,0.01635486,9.265976,0.1472957,0.2590941,-9.852518
108121,0,2277,53705,92,130.252166748,18.9807033539,0.01524661,9.235601,0.1301697,0.1618658,-10.02645
113118,0,2094,53851,323,204.6238098145,30.9868736267,0.01596436,9.118616,0.1483577,0.1873523,-9.845957
