Log_Mh2,Log_LCO,Log_M,Log_SFR
9.321510743,8.691510743,10.6,0.0940300271
9.1355213783,8.781510743,11.08,-0.0179548586
9.941510743,9.311510743,10.49,0.8991030918
10.0035817153,9.141510743,11.05,1.0279041894
9.071510743,8.441510743,10.15,-0.099043742
10.4252690216,9.591510743,11.05,0.9352976721
9.241510743,8.611510743,10.12,0.0673827102
9.7290823195,8.531510743,10.18,0.4382126938
9.481510743,8.851510743,10.29,-0.0159006811
9.9464076112,9.351510743,10.77,0.6856111397
9.736116008,9.201510743,10.28,0.7062163509
9.6818176007,9.201510743,11.03,0.5068300323
9.7609871989,9.181510743,10.85,0.5047113684
9.491510743,8.861510743,11.16,0.0888872031
9.3652913826,8.931510743,11.22,0.1106896432
9.7800133696,9.251510743,10.95,0.7620722434
9.100443916,8.561510743,10.37,-0.208723639
9.3672640481,8.871510743,11.12,-0.0617222033
9.6228716632,9.161510743,11.1,0.4050169251
9.391510743,8.761510743,10.15,0.1164036212
9.221510743,8.591510743,10.68,0.2035079381
10.7990310303,9.73,10.03,1.3307371348
8.8944007751,8.401510743,11.16,-0.3971592595
8.7648189259,8.141510743,10.73,-0.2660596728
9.6376466629,9.081510743,10.39,0.7364738377
9.5876292444,8.861510743,10.25,0.5503153288
8.8640011273,8.461510743,10.99,-0.3534154602
9.7034078006,9.181510743,10.45,0.6421359114
9.491510743,8.861510743,10.31,0.3577473739
8.9076810624,8.401510743,10.16,0.027616073
9.163746,8.461510743,10.3,0.1522298946
8.691510743,8.991510743,10.18,0.8306133975
9.731510743,9.101510743,10.44,0.9187628236
9.3298858121,8.971510743,11.33,0.0403020974
8.8491528966,8.171510743,10.73,-0.3240263635
9.3000454434,8.841510743,10.75,-0.0656854143
9.6123281093,8.981510743,10.11,0.6862843556
9.3174165181,8.801510743,10.71,0.1769495374
8.617352099,7.971510743,10.51,-0.699504796
9.401510743,8.771510743,10.28,0.4602922459
9.9487865838,9.341510743,10.91,0.7586097919
8.9216515334,8.321510743,11.04,0.3742725559
9.4328961953,8.861510743,10.87,-0.2204000815
9.8621080167,9.33,10.61,1.0010187902
9.6319619069,9.091510743,10.2,0.5752053525
9.0259428926,8.711510743,10.95,-0.0332029623
9.3019457871,8.441510743,10.18,0.2136926979
8.6508643756,8.201510743,10.78,-0.2749397111
9.2537440937,8.711510743,10.41,0.5809927993
9.521510743,8.891510743,10.68,0.3092673047
8.7934562583,8.081510743,10.12,-0.2422944809
9.4490212275,8.831510743,11.09,0.0959116468
9.4015449541,8.731510743,10.45,-0.2483589332
10.0466066982,8.95,10.11,1.1614760799
9.1184126592,8.521510743,10.15,-0.0919319127
9.3105581506,8.571510743,10.18,0.1636450016
9.781510743,9.151510743,10.76,0.4463238499
9.111510743,8.481510743,10.14,0.0848080396
9.1069143312,8.431510743,10.88,-0.2025843086
9.601510743,8.971510743,10.42,0.5575422942
9.9017640036,9.321510743,10.77,0.637351867
9.421510743,8.791510743,10.42,0.2239999572
9.5441519553,9.121510743,10.87,0.4632576919
8.9903950255,8.561510743,10.57,0.0428589138
9.641510743,9.011510743,10.36,0.5408443659
10.5074010356,9.49,11.26,1.4066289071
8.915439871,8.491510743,10.54,-0.1681722468
9.0633190609,8.541510743,11.03,0.2309546404
8.5503683847,8.111510743,10.46,-0.5654697132
8.8504285629,8.381510743,10.28,-0.491273912
9.0158471964,8.341510743,10.36,-0.5420516245
9.261510743,8.631510743,10.04,-0.0590721698
8.6814157727,8.181510743,10.23,-0.5781008812
8.485678538,8.001510743,10.02,-0.7509172564
8.6495170012,8.291510743,10.47,-0.663071941
8.850140545,8.481510743,10.05,-0.6300795016
8.6592604029,8.291510743,10.56,-0.1355402398
9.961174394,9.211510743,10.81,0.399924837
9.0643626954,8.511510743,10.4,0.3351477334
9.90727994,9.301510743,10.64,0.5149536686
9.534987442,8.911510743,10.91,0.1050160822
9.5976937692,8.841510743,10.1,0.2949510084
9.2887956721,8.591510743,10.1,-0.3483383595
9.5579496683,9.011510743,11.09,0.4313728507
9.8451129703,8.941510743,10.78,0.3300220225
8.8057899454,8.191510743,10.07,-0.292141288
9.201510743,8.571510743,10.13,0.0648174749
8.9433222171,8.291510743,10.56,-0.2650314065
9.111510743,8.481510743,10.05,-0.0279275682
8.7088861179,8.091510743,10.62,-0.7130712061
9.04224223,8.381510743,10.27,-0.1291685503
9.286350808,8.771510743,10.78,0.5721907878
9.584479016,9.091510743,10.6,0.4343884286
8.691382843,8.281510743,10.25,-0.1262777322
8.3993104694,7.6,9.45,-0.4885446462
8.327661673,7.57,9.22,-0.6051132706
8.79348448,8.29,9.84,-0.3296168052
8.5033915685,7.61,9.31,-0.5025684133
8.3897161976,7.38,9.37,-0.3500712865
8.84,8.21,9.64,-0.5753794633
9.4358912108,8.71,10.08,0.183574591
8.78,8.15,9.75,-0.2585028279
8.8157164383,8.07,9.93,-0.2260215228
8.8254892558,8.36,9.94,-0.31587168
9.3168152217,8.74,9.85,0.3032109052
8.5496324937,8.15,9.88,-0.6365140227
8.5305608277,7.47,9.47,-0.8660740041
8.5011937543,7.79,9.61,-0.2464931936
8.8185931259,8.07,9.75,-0.3876986723
8.1832057937,7.64,9.51,-0.8561181536
9.2654589744,8.63,10.07,0.1473429268
8.7148711575,7.47,9.21,-0.3658689067
8.3896001485,7.21,9.26,-0.4874497122
8.7069180041,8.11,9.91,-0.3995395544
8.2285589128,7.72,9.99,-1.0210570804
8.4822548598,7.99,9.68,-0.2465626463
8.2221811253,7.62,9.5,-0.9147372557
8.3410199459,7.73,9.52,-0.4141808782
8.6897954975,7.98,9.7,-0.4299933695
8.2063534223,7.63,9.51,-0.9305241516
7.8129418958,6.79,9.01,-0.9250108432
8.6588828874,7.38,9.38,-0.5053846924
8.0798138008,7.49,9.45,-1.0435100229
8.8227224912,8.12,9.65,-0.2604502836
8.897222336,7.79,9.46,-0.129130793
8.6610891227,8.11,9.59,-0.120649598
8.9224774033,8.26,9.85,-0.0419637629
8.6769859756,8.08,10,-0.4478273814
8.6798711663,7.75,9.83,-0.5001207215
9.3010019194,8.57,9.93,0.474498123
8.5182738816,7.86,9.75,-0.708156528
8.220536956,7.44,9.41,-0.6481211645
8.0912904718,7.21,9.17,-0.8326429696
8.7663534664,7.76,9.2,-0.6429723129
8.7248336066,7.61,9.16,-0.4736812639
8.5500758845,7.55,9.27,-0.7126700449
8.3054391279,7.44,9.31,-0.7936069433
8.140460451,6.97,9.09,-0.7983822907
8.642971317,7.97,9.7,-0.3999482086
8.93,8.3,9.67,-0.1264402832
8.80326463,7.65,9.42,-0.1502629062
8.4581977997,8.02,9.67,-0.4389014779
7.9385353528,7.51,9.33,-1.3169997807
9.08873766,8.4,9.92,-0.2130722293
8.6557716717,7.81,9.31,-0.4542205992
8.2676597173,7.18,9.11,-1.0534696117
9.21,8.58,9.91,-0.3895046739
8.9495047608,8.36,9.89,0.2682830726
8.6673425931,7.5,9.16,-0.7482412583
8.8372412853,8.38,9.86,-0.7569077962
8.1656491503,7.09,9.12,-0.7632637885
8.94,8.31,9.89,-0.5009169136
8.6055885777,7.73,9.41,-0.2836838579
8.6749600549,7.88,9.54,-0.4262542925
8.9075874173,8.16,9.93,-0.2141044593
8.4937589673,7.66,9.38,-0.6973177354
8.9150890835,8.36,9.84,-0.0009250629
8.9034628628,7.54,9.07,-0.1321775596
8.1598287437,7.08,9.07,-0.693612273
8.82628665,8.01,9.65,-0.302023285
8.3103796895,7.45,9.22,-0.6877589953
8.7920527875,8.08,9.77,-0.6004396809
8.1447463245,7.54,9.53,-1.0045023007
8.4835526878,7.54,9.24,-0.3660683458
8.5350172649,7.48,9.07,-0.8516471694
8.6800564045,7.79,9.47,-0.3638114963
8.6126783249,7.73,9.5,-0.4938031408
8.8334065909,8.26,9.84,-0.0370013915
9.33,8.7,9.94,0.3568252601
8.9535752425,7.93,9.75,-0.7347162581
