GASS,AGCnr,SDSS,PLATEID,MJD,FIBERID,ra,dec,z,MASS_P50,HIMASS_LIM
14830,203853,J100227.99+051512.3,995,52731,51,150.61664,5.253439,0.04784,10.006,8.5
146,191440,J100230.83+001826.2,269,51910,358,150.62846,0.307289,0.0337,10.681,8.88
33952,727610,J100230.89+324252.3,1952,53378,284,150.62872,32.714542,0.04895,11.101,9.3
33881,205941,J100234.34+345609.0,1951,53389,307,150.64313,34.93585,0.03838,10.944,9.14
33795,205942,J100234.91+324353.7,1949,53433,576,150.64548,32.73161,0.04948,10.055,8.5
5024,204627,J100238.50+012920.8,501,52235,238,150.66042,1.489118,0.04074,10.111,8.5
33798,205944,J100240.30+324704.9,1949,53433,580,150.66795,32.784714,0.04862,10.157,8.5
33709,205949,J100243.56+345630.6,1948,53388,615,150.6815,34.94185,0.03794,10.581,8.78
33782,205951,J100244.28+323811.8,1949,53433,548,150.68454,32.63662,0.04949,10.139,8.5
55288,718293,J100245.52+214045.0,2364,53737,399,150.68968,21.679193,0.02862,10.403,8.6
143,204844,J100245.81+003149.8,269,51910,351,150.69089,0.530515,0.04498,10.725,8.93
33777,205960,J100250.75+323840.2,1949,53433,541,150.71149,32.644505,0.0477,10.097,8.5
33940,205967,J100257.24+323820.1,1952,53378,247,150.73851,32.638924,0.04786,10.97,9.17
26184,202702,J100303.74+125659.8,1744,53055,502,150.76561,12.949964,0.03567,10.577,8.78
33788,5407,J100305.05+330250.1,1949,53433,567,150.77107,33.04726,0.02879,10.54,8.74
33942,727616,J100305.61+323508.8,1952,53378,250,150.77339,32.58579,0.04831,10.085,8.5
53795,721868,J100305.88+243317.6,2343,53735,334,150.77454,24.5549,0.04539,10.673,8.87
157,204848,J100306.20+002714.7,269,51910,399,150.77585,0.454107,0.04513,11.165,9.37
33803,205974,J100306.68+324149.7,1949,53433,597,150.77786,32.697144,0.04972,10.506,8.71
153,204849,J100306.70+001913.4,269,51910,387,150.77794,0.3204,0.04527,10.767,8.97
150,204850,J100307.03+003025.1,269,51910,383,150.77933,0.506982,0.04448,10.027,8.5
151,204851,J100307.12+003251.8,269,51910,384,150.7797,0.547739,0.04721,10.452,8.65
26129,200011,J100311.63+120735.9,1744,53055,161,150.7985,12.126653,0.03016,10.824,9.02
5022,204628,J100313.51+015343.2,501,52235,198,150.8063,1.895336,0.04551,10.078,8.5
20483,201245,J100314.33+104354.7,1307,52999,548,150.80972,10.731869,0.03522,10.324,8.52
53909,721869,J100317.33+254114.8,2344,53740,551,150.82222,25.687454,0.03789,10.817,9.02
18745,203413,J100319.02+075350.6,1236,52751,190,150.82925,7.897405,0.03055,10.153,8.5
33974,727621,J100321.20+334038.4,1952,53378,341,150.83836,33.677338,0.0437,10.613,8.81
20481,202281,J100323.28+103830.4,1307,52999,542,150.84705,10.641801,0.04249,10.524,8.72
26185,202707,J100324.22+125727.9,1744,53055,503,150.85092,12.957766,0.03519,10.736,8.94
